Z,Element,Nuclide,Half-life,Decay mode,Alpha,Electron,Photon,Total,Daughter Products
73,Tantalum,Ta-175,10.5 h,ECB+,–,0.0663,1.1126,1.179,{'Hf-175': 1.0}
73,Tantalum,Ta-176,8.09 h,ECB+,–,0.0849,2.2322,2.3171,{'Hf-176': 1.0}
73,Tantalum,Ta-177,56.56 h,EC,–,0.024,0.0678,0.0917,{'Hf-177': 1.0}
73,Tantalum,Ta-178,9.31 m,ECB+,–,0.0391,0.1218,0.1609,{'Hf-178': 1.0}
73,Tantalum,Ta-178m,2.36 h,EC,–,0.1616,1.1558,1.3174,{'Hf-178': 1.0}
73,Tantalum,Ta-179,1.82 y,EC,–,0.0078,0.0256,0.0334,{'Hf-179': 1.0}
73,Tantalum,Ta-180,8.152 h,ECB-,–,0.0565,0.0482,0.1048,"{'Hf-180': 0.86, 'W-180': 0.14}"
73,Tantalum,Ta-182,114.43 d,B-,–,0.2105,1.2918,1.5023,{'W-182': 1.0}
73,Tantalum,Ta-182m,15.84 m,IT,–,0.2665,0.2659,0.5324,{'Ta-182': 1.0}
73,Tantalum,Ta-183,5.1 d,B-,–,0.3537,0.2963,0.6499,{'W-183': 1.0}
73,Tantalum,Ta-184,8.7 h,B-,–,0.5426,1.5727,2.1152,{'W-184': 1.0}
73,Tantalum,Ta-185,49.4 m,B-,–,0.7416,0.1547,0.8963,{'W-185': 1.0}
73,Tantalum,Ta-186,10.5 m,B-,–,1.071,1.4202,2.4912,{'W-186': 1.0}
74,Tungsten,W-177,132 m,ECB+,–,0.097,0.9185,1.0155,{'Ta-177': 1.0}
74,Tungsten,W-178,21.6 d,EC,–,0.0075,0.0164,0.0239,{'Ta-178': 1.0}
74,Tungsten,W-179,37.05 m,EC,–,0.0326,0.0554,0.088,{'Ta-179': 1.0}
74,Tungsten,W-179m,6.40 m,ITEC,–,0.1661,0.0561,0.2221,"{'W-179': 0.9972, 'Ta-179': 0.0028}"
74,Tungsten,W-181,121.2 d,EC,–,0.0129,0.0404,0.0533,{'Ta-181': 1.0}
74,Tungsten,W-185,75.1 d,B-,–,0.127,<E-04,0.127,{'Re-185': 1.0}
74,Tungsten,W-185m,1.597 m,IT,–,0.1738,0.0287,0.2025,{'W-185': 1.0}
74,Tungsten,W-187,23.72 h,B-,–,0.2995,0.4483,0.7478,{'Re-187': 1.0}
74,Tungsten,W-188,69.78 d,B-,–,0.0997,0.0019,0.1016,{'Re-188': 1.0}
74,Tungsten,W-190,30.0 m,B-,–,0.4771,0.1511,0.6282,{'Re-190': 1.0}
75,Rhenium,Re-178,13.2 m,ECB+,–,0.6192,1.7085,2.3277,{'W-178': 1.0}
75,Rhenium,Re-179,19.5 m,ECB+,–,0.0668,1.0841,1.1509,"{'W-179': 0.76079, 'W-179m': 0.23921}"
75,Rhenium,Re-180,2.44 m,ECB+,–,0.172,1.2028,1.3748,{'W-180': 1.0}
75,Rhenium,Re-181,19.9 h,ECB+,–,0.136,0.8044,0.9404,{'W-181': 1.0}
75,Rhenium,Re-182,64.0 h,EC,–,0.2045,1.7982,2.0027,{'W-182': 1.0}
75,Rhenium,Re-182m,12.7 h,ECB+,–,0.0922,1.2214,1.3136,{'W-182': 1.0}
75,Rhenium,Re-183,70.0 d,EC,–,0.1093,0.1575,0.2667,{'W-183': 1.0}
75,Rhenium,Re-184,38.0 d,ECB+,–,0.0562,0.8919,0.9481,{'W-184': 1.0}
75,Rhenium,Re-184m,169 d,ITEC,–,0.1413,0.3836,0.5249,"{'Re-184': 0.754, 'W-184': 0.246}"
75,Rhenium,Re-186,3.7183 d,B-EC,–,0.3362,0.0208,0.357,"{'Os-186': 0.9253, 'W-186': 0.0747}"
75,Rhenium,Re-186m,2.00E+5 y,IT,–,0.1267,0.0207,0.1474,{'Re-186': 1.0}
75,Rhenium,Re-187,4.12E+10 y,B-,–,0.0006,–,0.0006,{'Os-187': 1.0}
75,Rhenium,Re-188,17.0040 h,B-,–,0.7793,0.0613,0.8406,{'Os-188': 1.0}
75,Rhenium,Re-188m,18.59 m,IT,–,0.0976,0.0715,0.1692,{'Re-188': 1.0}
75,Rhenium,Re-189,24.3 h,B-,–,0.326,0.0556,0.3816,"{'Os-189m': 0.12211, 'Os-189': 0.87789}"
75,Rhenium,Re-190,3.1 m,B-,–,0.6863,1.3376,2.0239,{'Os-190': 1.0}
75,Rhenium,Re-190m,3.2 h,B-IT,–,0.4456,0.9257,1.3714,"{'Re-190': 0.456, 'Os-190': 0.544}"
76,Osmium,Os-180,21.5 m,ECB+,–,0.0298,0.1265,0.1564,{'Re-180': 1.0}
76,Osmium,Os-181,105 m,ECB+,–,0.0918,1.3835,1.4753,{'Re-181': 1.0}
76,Osmium,Os-182,22.10 h,EC,–,0.0565,0.4317,0.4882,{'Re-182m': 1.0}
76,Osmium,Os-183,13.0 h,ECB+,–,0.0792,0.6288,0.7081,{'Re-183': 1.0}
76,Osmium,Os-183m,9.9 h,ECB+IT,–,0.0416,1.0062,1.0478,"{'Re-183': 0.85, 'Os-183': 0.15}"
76,Osmium,Os-185,93.6 d,EC,–,0.0184,0.6917,0.7101,{'Re-185': 1.0}
76,Osmium,Os-186,2.0E+15 y,A,2.822,–,–,2.822,{'W-182': 1.0}
76,Osmium,Os-189m,5.8 h,IT,–,0.0286,0.0023,0.0309,{'Os-189': 1.0}
76,Osmium,Os-190m,9.9 m,IT,–,0.1166,1.5894,1.7059,{'Os-190': 1.0}
76,Osmium,Os-191,15.4 d,B-,–,0.1372,0.0843,0.2215,{'Ir-191': 1.0}
76,Osmium,Os-191m,13.10 h,IT,–,0.0664,0.008,0.0744,{'Os-191': 1.0}
76,Osmium,Os-193,30.11 h,B-,–,0.3797,0.0674,0.4471,"{'Ir-193m': 0.0034757, 'Ir-193': 0.99652}"
76,Osmium,Os-194,6.0 y,B-,–,0.0453,0.0045,0.0498,{'Ir-194': 1.0}
76,Osmium,Os-196,34.9 m,B-,–,0.3807,0.0805,0.4612,{'Ir-196': 1.0}
77,Iridium,Ir-180,1.5 m,ECB+,–,1.2439,1.5955,2.8394,{'Os-180': 1.0}
77,Iridium,Ir-182,15 m,ECB+,–,1.0474,1.4121,2.4595,{'Os-182': 1.0}
77,Iridium,Ir-183,58 m,ECB+,–,0.1516,1.1889,1.3404,"{'Os-183m': 0.70972, 'Os-183': 0.29028}"
77,Iridium,Ir-184,3.09 h,ECB+,–,0.3194,1.9644,2.2838,{'Os-184': 1.0}
77,Iridium,Ir-185,14.4 h,ECB+,–,0.1228,0.8581,0.9809,{'Os-185': 1.0}
77,Iridium,Ir-186,16.64 h,ECB+,–,0.1453,1.6651,1.8104,{'Os-186': 1.0}
77,Iridium,Ir-186m,1.92 h,ECB+IT,–,0.1103,1.2523,1.3626,"{'Os-186': 0.75, 'Ir-186': 0.25}"
77,Iridium,Ir-187,10.5 h,ECB+,–,0.0568,0.3325,0.3892,{'Os-187': 1.0}
77,Iridium,Ir-188,41.5 h,ECB+,–,0.0508,2.0974,2.1483,{'Os-188': 1.0}
77,Iridium,Ir-189,13.2 d,EC,–,0.0458,0.0793,0.1251,"{'Os-189m': 0.074264, 'Os-189': 0.92574}"
77,Iridium,Ir-190,11.78 d,EC,–,0.0746,1.4768,1.5514,{'Os-190': 1.0}
77,Iridium,Ir-190m,1.120 h,IT,–,0.024,0.0024,0.0264,{'Ir-190': 1.0}
77,Iridium,Ir-190n,3.087 h,ECIT,–,0.0289,0.0577,0.0867,"{'Os-190m': 0.914, 'Ir-190': 0.086}"
77,Iridium,Ir-191m,4.94 s,IT,–,0.0971,0.0764,0.1735,{'Ir-191': 1.0}
77,Iridium,Ir-192,73.827 d,B-EC,–,0.2177,0.8165,1.0342,"{'Pt-192': 0.9513, 'Os-192': 0.0487}"
77,Iridium,Ir-192m,1.45 m,ITB-,–,0.054,0.0029,0.0569,"{'Ir-192': 0.99983, 'Pt-192': 0.000175}"
77,Iridium,Ir-192n,241 y,IT,–,0.1617,0.0066,0.1682,{'Ir-192': 1.0}
77,Iridium,Ir-193m,10.53 d,IT,–,0.0776,0.0027,0.0803,{'Ir-193': 1.0}
77,Iridium,Ir-194,19.28 h,B-,–,0.8105,0.0911,0.9015,{'Pt-194': 1.0}
77,Iridium,Ir-194m,171 d,B-,–,0.1422,2.3339,2.4761,{'Pt-194': 1.0}
77,Iridium,Ir-195,2.5 h,B-,–,0.3803,0.0593,0.4397,{'Pt-195': 1.0}
77,Iridium,Ir-195m,3.8 h,B-IT,–,0.2606,0.3766,0.6372,"{'Pt-195m': 0.43692, 'Ir-195': 0.05, 'Pt-195': 0.51308}"
77,Iridium,Ir-196,52 s,B-,–,1.1738,0.2322,1.406,{'Pt-196': 1.0}
77,Iridium,Ir-196m,1.40 h,B-,–,0.3844,2.4677,2.8522,{'Pt-196': 1.0}
78,Platinum,Pt-184,17.3 m,ECB+A,<E-04,0.2004,0.7266,0.9271,"{'Ir-184': 1.0, 'Os-180': 1.7e-05}"
78,Platinum,Pt-186,2.08 h,ECA,<E-04,0.0451,0.6844,0.7296,"{'Ir-186m': 0.81942, 'Ir-186': 0.18058, 'Os-182': 1e-06}"
78,Platinum,Pt-187,2.35 h,ECB+,–,0.1549,0.6183,0.7732,{'Ir-187': 1.0}
78,Platinum,Pt-188,10.2 d,ECA,<E-04,0.0823,0.2055,0.2878,"{'Ir-188': 1.0, 'Os-184': 2.9e-07}"
78,Platinum,Pt-189,10.87 h,ECB+,–,0.0996,0.487,0.5867,{'Ir-189': 1.0}
78,Platinum,Pt-190,6.50E+11 y,A,3.249,–,–,3.249,{'Os-186': 1.0}
78,Platinum,Pt-191,2.802 d,EC,–,0.0749,0.296,0.3709,{'Ir-191': 1.0}
78,Platinum,Pt-193,50 y,EC,–,0.0071,0.0026,0.0097,{'Ir-193': 1.0}
78,Platinum,Pt-193m,4.33 d,IT,–,0.1377,0.0132,0.151,{'Pt-193': 1.0}
78,Platinum,Pt-195m,4.02 d,IT,–,0.1845,0.0772,0.2617,{'Pt-195': 1.0}
78,Platinum,Pt-197,19.8915 h,B-,–,0.2552,0.0256,0.2809,{'Au-197': 1.0}
78,Platinum,Pt-197m,95.41 m,ITB-,–,0.325,0.0839,0.4089,"{'Pt-197': 0.967, 'Au-197': 0.033}"
78,Platinum,Pt-199,30.80 m,B-,–,0.5455,0.1995,0.745,{'Au-199': 1.0}
78,Platinum,Pt-200,12.5 h,B-,–,0.2321,0.0605,0.2926,{'Au-200': 1.0}
78,Platinum,Pt-202,44 h,B-,–,0.6537,–,0.6537,{'Au-202': 1.0}
79,Gold,Au-186,10.7 m,ECB+,–,1.0751,1.4983,2.5735,{'Pt-186': 1.0}
79,Gold,Au-187,8.4 m,ECB+A,0.0001,0.136,1.0652,1.2014,"{'Pt-187': 1.0, 'Ir-183': 3e-05}"
79,Gold,Au-190,42.8 m,ECB+,–,0.2129,2.3807,2.5936,{'Pt-190': 1.0}
79,Gold,Au-191,3.18 h,ECB+,–,0.0865,0.5946,0.6811,{'Pt-191': 1.0}
79,Gold,Au-192,4.94 h,ECB+,–,0.0904,1.9392,2.0296,{'Pt-192': 1.0}
79,Gold,Au-193,17.65 h,EC,–,0.0575,0.1673,0.2249,{'Pt-193': 1.0}
79,Gold,Au-193m,3.9 s,ITEC,–,0.0904,0.1979,0.2883,"{'Au-193': 0.9997, 'Pt-193m': 0.0003}"
79,Gold,Au-194,38.02 h,ECB+,–,0.0421,1.0386,1.0806,{'Pt-194': 1.0}
79,Gold,Au-195,186.098 d,EC,–,0.052,0.0839,0.1359,{'Pt-195': 1.0}
79,Gold,Au-195m,30.5 s,IT,–,0.1172,0.2014,0.3186,{'Au-195': 1.0}
79,Gold,Au-196,6.183 d,ECB-,–,0.0372,0.4734,0.5105,"{'Pt-196': 0.928, 'Hg-196': 0.072}"
79,Gold,Au-196m,9.6 h,IT,–,0.376,0.2473,0.6233,{'Au-196': 1.0}
79,Gold,Au-198,2.69517 d,B-,–,0.3277,0.4029,0.7306,{'Hg-198': 1.0}
79,Gold,Au-198m,2.27 d,IT,–,0.2748,0.5332,0.808,{'Au-198': 1.0}
79,Gold,Au-199,3.139 d,B-,–,0.1451,0.0961,0.2412,{'Hg-199': 1.0}
79,Gold,Au-200,48.4 m,B-,–,0.7303,0.2737,1.0041,{'Hg-200': 1.0}
79,Gold,Au-200m,18.7 h,B-IT,–,0.2433,1.9843,2.2276,"{'Au-200': 0.18, 'Hg-200': 0.82}"
79,Gold,Au-201,26 m,B-,–,0.4259,0.0346,0.4605,{'Hg-201': 1.0}
79,Gold,Au-202,28.8 s,B-,–,1.0749,0.172,1.2469,{'Hg-202': 1.0}
80,Mercury,Hg-190,20.0 m,ECB+,–,0.0539,0.2018,0.2557,{'Au-190': 1.0}
80,Mercury,Hg-191m,50.8 m,ECB+,–,0.1378,1.4895,1.6273,{'Au-191': 1.0}
80,Mercury,Hg-192,4.85 h,EC,–,0.0636,0.2749,0.3385,{'Au-192': 1.0}
80,Mercury,Hg-193,3.80 h,ECB+,–,0.074,0.8377,0.9117,"{'Au-193': 0.96459, 'Au-193m': 0.035408}"
80,Mercury,Hg-193m,11.8 h,ECB+IT,–,0.047,1.0239,1.0709,"{'Au-193m': 0.89197, 'Hg-193': 0.071, 'Au-193': 0.037027}"
80,Mercury,Hg-194,440 y,EC,–,0.0078,0.0027,0.0106,{'Au-194': 1.0}
80,Mercury,Hg-195,10.53 h,ECB+,–,0.065,0.2008,0.2658,{'Au-195': 1.0}
80,Mercury,Hg-195m,41.6 h,ITECB+,–,0.148,0.2047,0.3527,"{'Hg-195': 0.542, 'Au-195': 0.458}"
80,Mercury,Hg-197,64.94 h,EC,–,0.0702,0.074,0.1442,{'Au-197': 1.0}
80,Mercury,Hg-197m,23.8 h,ITEC,–,0.217,0.0977,0.3148,"{'Hg-197': 0.914, 'Au-197': 0.086}"
80,Mercury,Hg-199m,42.66 m,IT,–,0.3487,0.1836,0.5323,{'Hg-199': 1.0}
80,Mercury,Hg-203,46.612 d,B-,–,0.099,0.238,0.337,{'Tl-203': 1.0}
80,Mercury,Hg-205,5.2 m,B-,–,0.539,0.0053,0.5444,{'Tl-205': 1.0}
80,Mercury,Hg-206,8.15 m,B-,–,0.4211,0.1215,0.5426,{'Tl-206': 1.0}
80,Mercury,Hg-207,2.9 m,B-,–,0.8262,2.6614,3.4876,{'Tl-207': 1.0}
81,Thallium,Tl-190,2.6 m,ECB+,–,1.5288,1.2914,2.8202,{'Hg-190': 1.0}
81,Thallium,Tl-190m,3.7 m,ECB+,–,0.7985,2.455,3.2535,{'Hg-190': 1.0}
81,Thallium,Tl-194,33.0 m,ECB+,–,0.5972,0.9143,1.5115,{'Hg-194': 1.0}
81,Thallium,Tl-194m,32.8 m,ECB+,–,0.3037,2.5218,2.8255,{'Hg-194': 1.0}
81,Thallium,Tl-195,1.16 h,ECB+,–,0.074,1.225,1.2991,"{'Hg-195': 0.99656, 'Hg-195m': 0.0034358}"
81,Thallium,Tl-196,1.84 h,ECB+,–,0.1782,1.8734,2.0516,{'Hg-196': 1.0}
81,Thallium,Tl-197,2.84 h,ECB+,–,0.0544,0.4587,0.513,{'Hg-197': 1.0}
81,Thallium,Tl-198,5.3 h,ECB+,–,0.0414,2.0108,2.0522,{'Hg-198': 1.0}
81,Thallium,Tl-198m,1.87 h,ECB+IT,–,0.2006,1.2168,1.4175,"{'Tl-198': 0.46, 'Hg-198': 0.54}"
81,Thallium,Tl-199,7.42 h,ECB+,–,0.06,0.252,0.312,{'Hg-199': 1.0}
81,Thallium,Tl-200,26.1 h,ECB+,–,0.0408,1.3106,1.3514,{'Hg-200': 1.0}
81,Thallium,Tl-201,72.912 h,EC,–,0.0447,0.0938,0.1385,{'Hg-201': 1.0}
81,Thallium,Tl-202,12.23 d,EC,–,0.0233,0.4658,0.4891,{'Hg-202': 1.0}
81,Thallium,Tl-204,3.78 y,B-EC,–,0.2372,0.0013,0.2385,"{'Pb-204': 0.971, 'Hg-204': 0.029}"
81,Thallium,Tl-206,4.200 m,B-,–,0.5398,0.0001,0.5399,{'Pb-206': 1.0}
81,Thallium,Tl-206m,3.74 m,IT,–,0.2003,2.4192,2.6195,{'Tl-206': 1.0}
81,Thallium,Tl-207,4.77 m,B-,–,0.4952,0.0024,0.4975,{'Pb-207': 1.0}
81,Thallium,Tl-208,3.053 m,B-,–,0.6113,3.3603,3.9716,{'Pb-208': 1.0}
81,Thallium,Tl-209,2.161 m,B-,–,0.6875,2.1426,2.8302,{'Pb-209': 1.0}
81,Thallium,Tl-210,1.30 m,B-,–,1.2699,2.7632,4.0331,{'Pb-210': 1.0}
82,Lead,Pb-194,12.0 m,ECB+A,<E-04,0.0844,1.0832,1.1677,"{'Tl-194': 1.0, 'Hg-190': 7.3e-08}"
82,Lead,Pb-195m,15 m,ECB+,–,0.3167,1.6547,1.9714,{'Tl-195': 1.0}
82,Lead,Pb-196,37 m,ECB+,–,0.0969,0.494,0.5909,{'Tl-196': 1.0}
82,Lead,Pb-197,8 m,ECB+,–,0.0818,1.5319,1.6137,{'Tl-197': 1.0}
82,Lead,Pb-197m,43 m,ECB+IT,–,0.2477,1.1732,1.4209,"{'Tl-197': 0.81, 'Pb-197': 0.19}"
82,Lead,Pb-198,2.4 h,EC,–,0.0781,0.4385,0.5166,{'Tl-198': 1.0}
82,Lead,Pb-199,90 m,ECB+,–,0.0584,1.0394,1.0978,{'Tl-199': 1.0}
82,Lead,Pb-200,21.5 h,EC,–,0.0997,0.2086,0.3083,{'Tl-200': 1.0}
82,Lead,Pb-201,9.33 h,ECB+,–,0.0594,0.7562,0.8156,{'Tl-201': 1.0}
82,Lead,Pb-201m,61 s,IT,–,0.2633,0.3658,0.6291,{'Pb-201': 1.0}
82,Lead,Pb-202,5.25E+4 y,ECA,0.026,0.0061,0.0025,0.0346,"{'Tl-202': 0.99, 'Hg-198': 0.01}"
82,Lead,Pb-202m,3.53 h,ITEC,–,0.1321,1.9925,2.1246,"{'Pb-202': 0.905, 'Tl-202': 0.095}"
82,Lead,Pb-203,51.873 h,EC,–,0.053,0.3143,0.3672,{'Tl-203': 1.0}
82,Lead,Pb-204m,67.2 m,IT,–,0.103,2.0634,2.1664,{'Pb-204': 1.0}
82,Lead,Pb-205,1.53E+7 y,EC,–,0.0062,0.0025,0.0087,{'Tl-205': 1.0}
82,Lead,Pb-209,3.253 h,B-,–,0.1974,–,0.1974,{'Bi-209': 1.0}
82,Lead,Pb-210,22.20 y,B-A,<E-04,0.0404,0.0053,0.0457,"{'Bi-210': 1.0, 'Hg-206': 1.9e-08}"
82,Lead,Pb-211,36.1 m,B-,–,0.4543,0.0644,0.5187,{'Bi-211': 1.0}
82,Lead,Pb-212,10.64 h,B-,–,0.1766,0.145,0.3217,{'Bi-212': 1.0}
82,Lead,Pb-214,26.8 m,B-,–,0.2948,0.2533,0.5481,{'Bi-214': 1.0}
83,Bismuth,Bi-197,9.3 m,ECB+,–,0.2887,1.6992,1.9879,"{'Pb-197': 0.56103, 'Pb-197m': 0.43897}"
83,Bismuth,Bi-200,36.4 m,ECB+,–,0.2469,2.4355,2.6825,{'Pb-200': 1.0}
83,Bismuth,Bi-201,108 m,ECB+,–,0.0612,1.7304,1.7916,"{'Pb-201': 0.54833, 'Pb-201m': 0.45167}"
83,Bismuth,Bi-202,1.72 h,ECB+,–,0.1515,2.7561,2.9076,{'Pb-202': 1.0}
83,Bismuth,Bi-203,11.76 h,ECB+,–,0.0809,2.385,2.4659,{'Pb-203': 1.0}
83,Bismuth,Bi-204,11.22 h,ECB+,–,0.0807,2.9162,2.9968,"{'Pb-204m': 0.098525, 'Pb-204': 0.90148}"
83,Bismuth,Bi-205,15.31 d,ECB+,–,0.0346,1.6913,1.7259,{'Pb-205': 1.0}
83,Bismuth,Bi-206,6.243 d,ECB+,–,0.1379,3.2796,3.4175,{'Pb-206': 1.0}
83,Bismuth,Bi-207,32.9 y,ECB+,–,0.1193,1.537,1.6563,{'Pb-207': 1.0}
83,Bismuth,Bi-208,3.68E+5 y,EC,–,0.0144,2.646,2.6604,{'Pb-208': 1.0}
83,Bismuth,Bi-210,5.013 d,B-A,<E-04,0.3889,<E-04,0.3889,"{'Po-210': 1.0, 'Tl-206': 1.32e-06}"
83,Bismuth,Bi-210m,3.04E+6 y,A,5.0064,0.0475,0.2607,5.3146,"{'Tl-206': 1.0, 'Tl-207': 0.99724, 'Po-211': 0.00276}"
83,Bismuth,Bi-212,60.55 m,B-A,2.2164,0.5046,0.1038,2.8247,"{'Po-212': 0.6406, 'Tl-208': 0.3594}"
83,Bismuth,Bi-212n,7.0 m,B-,–,0.5351,–,0.5351,{'Po-212m': 1.0}
83,Bismuth,Bi-213,45.59 m,B-A,0.1245,0.444,0.1277,0.6963,"{'Po-213': 0.9791, 'Tl-209': 0.0209}"
83,Bismuth,Bi-214,19.9 m,B-A,0.0012,0.6631,1.4793,2.1436,"{'Po-214': 0.99979, 'Tl-210': 0.00021}"
83,Bismuth,Bi-215,7.6 m,B-,–,0.6694,0.2534,0.9228,{'Po-215': 1.0}
83,Bismuth,Bi-216,2.17 m,B-,–,1.3295,0.7385,2.068,{'Po-216': 1.0}
84,Polonium,Po-203,36.7 m,ECB+A,0.006,0.1672,1.6348,1.808,"{'Bi-203': 0.9989, 'Pb-199': 0.0011}"
84,Polonium,Po-204,3.53 h,ECA,0.0362,0.1839,1.165,1.385,"{'Bi-204': 0.9934, 'Pb-200': 0.0066}"
84,Polonium,Po-205,1.66 h,ECB+A,0.0021,0.066,1.5846,1.6527,"{'Bi-205': 0.999, 'Pb-201': 0.0004}"
84,Polonium,Po-206,8.8 d,ECA,0.2903,0.1655,1.1928,1.6486,"{'Bi-206': 0.9455, 'Pb-202': 0.0545}"
84,Polonium,Po-207,5.80 h,ECB+A,0.0011,0.049,1.2847,1.3347,"{'Bi-207': 0.99979, 'Pb-203': 0.00021}"
84,Polonium,Po-208,2.898 y,AEC,5.2154,<E-04,<E-04,5.2154,"{'Bi-208': 2.23e-05, 'Pb-204': 0.99998}"
84,Polonium,Po-209,102 y,AEC,4.9529,0.003,0.0063,4.9622,"{'Pb-205': 0.9952, 'Bi-209': 0.0048}"
84,Polonium,Po-210,138.376 d,A,5.4075,<E-04,<E-04,5.4075,{'Pb-206': 1.0}
84,Polonium,Po-211,0.516 s,A,7.586,0.0002,0.0082,7.5944,{'Pb-207': 1.0}
84,Polonium,Po-212,2.99E-7 s,A,8.9541,–,–,8.9541,{'Pb-208': 1.0}
84,Polonium,Po-212m,45.1 s,A,11.7755,0.0004,0.0792,11.8551,{'Pb-208': 0.9993}
84,Polonium,Po-213,4.2E-6 s,A,8.537,<E-04,<E-04,8.537,{'Pb-209': 1.0}
84,Polonium,Po-214,1.643E-4 s,A,7.8334,<E-04,<E-04,7.8335,{'Pb-210': 1.0}
84,Polonium,Po-215,1.781E-3 s,A,7.5261,<E-04,0.0002,7.5263,{'Pb-211': 1.0}
84,Polonium,Po-216,0.145 s,A,6.9064,<E-04,<E-04,6.9064,"{'Pb-212': 1.0, 'Pb-214': 0.9998, 'At-218': 0.0002}"
85,Astatine,At-204,9.2 m,ECB+A,0.2307,0.4485,2.3234,3.0025,"{'Po-204': 0.962, 'Bi-200': 0.038}"
85,Astatine,At-205,26.2 m,ECB+A,0.6021,0.2575,1.1444,2.0039,"{'Po-205': 0.9, 'Bi-201': 0.1}"
85,Astatine,At-206,30.6 m,ECB+A,0.0517,0.3324,2.4807,2.8647,"{'Po-206': 0.9911, 'Bi-202': 0.0089}"
85,Astatine,At-207,1.80 h,ECB+A,0.5049,0.1298,2.0136,2.6483,"{'Po-207': 0.914, 'Bi-203': 0.086}"
85,Astatine,At-208,1.63 h,ECB+A,0.0316,0.1598,3.0408,3.2322,"{'Po-208': 0.9945, 'Bi-204': 0.0055}"
85,Astatine,At-209,5.41 h,ECB+A,0.236,0.1172,2.2846,2.6378,"{'Po-209': 0.959, 'Bi-205': 0.041}"
85,Astatine,At-210,8.1 h,ECB+A,0.0097,0.0796,2.9622,3.0515,"{'Po-210': 0.99825, 'Bi-206': 0.00175}"
85,Astatine,At-211,7.214 h,ECA,2.4998,0.0059,0.0367,2.5424,"{'Po-211': 0.582, 'Bi-207': 0.418}"
85,Astatine,At-215,1.00E-4 s,A,8.1778,<E-04,0.0002,8.178,{'Bi-211': 1.0}
85,Astatine,At-216,3.00E-4 s,A,7.9407,0.0013,0.0025,7.9446,{'Bi-212': 1.0}
85,Astatine,At-217,3.23E-2 s,A,7.2008,<E-04,0.0002,7.2011,"{'Bi-213': 0.99988, 'Bi-214': 0.999, 'Rn-218': 0.001}"
85,Astatine,At-219,56 s,A,6.1343,–,–,6.1343,{'Bi-215': 0.97}
85,Astatine,At-220,3.71 m,B-A,0.4842,1.213,0.4497,2.1469,"{'Rn-220': 0.92, 'Bi-216': 0.08}"
86,Radon,Rn-207,9.25 m,ECB+A,1.3126,0.2197,0.9854,2.5177,"{'At-207': 0.79, 'Po-203': 0.21}"
86,Radon,Rn-209,28.5 m,ECB+A,1.0466,0.1167,1.1953,2.3586,"{'At-209': 0.83, 'Po-205': 0.17}"
86,Radon,Rn-210,2.4 h,AEC,5.9121,0.0091,0.061,5.9821,"{'Po-206': 0.96, 'At-210': 0.04}"
86,Radon,Rn-211,14.6 h,ECB+A,1.6205,0.0663,1.8727,3.5595,"{'At-211': 0.726, 'Po-207': 0.274}"
86,Radon,Rn-212,23.9 m,A,6.3847,<E-04,0.0003,6.385,{'Po-208': 1.0}
86,Radon,Rn-215,2.30 us,A,8.839,–,–,8.839,{'Po-211': 1.0}
86,Radon,Rn-216,4.5E-5 s,A,8.2,–,–,8.2,{'Po-212': 1.0}
86,Radon,Rn-217,5.40E-4 s,A,7.8856,–,–,7.8856,{'Po-213': 1.0}
86,Radon,Rn-218,3.5E-2 s,A,7.2618,<E-04,0.0008,7.2626,{'Po-214': 1.0}
86,Radon,Rn-219,3.96 s,A,6.8801,0.0068,0.0586,6.9456,{'Po-215': 1.0}
86,Radon,Rn-220,55.6 s,A,6.404,<E-04,0.0006,6.4047,{'Po-216': 1.0}
86,Radon,Rn-222,3.8235 d,A,5.5899,<E-04,0.0004,5.5903,{'Po-218': 1.0}
86,Radon,Rn-223,24.3 m,B-,–,0.6282,0.3444,0.9726,{'Fr-223': 1.0}
87,Francium,Fr-212,20.0 m,ECB+A,2.7731,0.1294,1.1415,4.044,"{'Rn-212': 0.57, 'At-208': 0.43}"
87,Francium,Fr-219,2.0E-2 s,A,7.4437,0.0004,0.0036,7.4477,"{'At-215': 1.0, 'At-216': 0.9965, 'Ra-220': 0.0035}"
87,Francium,Fr-221,4.9 m,A,6.4199,0.0089,0.0294,6.4582,{'At-217': 1.0}
87,Francium,Fr-222,14.2 m,B-,–,0.7145,0.1806,0.8951,{'Ra-222': 1.0}
87,Francium,Fr-223,22.00 m,B-A,0.0003,0.3829,0.0583,0.4415,"{'Ra-223': 1.0, 'At-219': 6e-05}"
87,Francium,Fr-224,3.33 m,B-,–,0.8751,0.5523,1.4274,{'Ra-224': 1.0}
87,Francium,Fr-227,2.47 m,B-,–,0.7967,0.4499,1.2466,{'Ra-227': 1.0}
88,Radium,Ra-219,10 ms,A,7.9071,0.06,0.1702,8.1372,{'Rn-215': 1.0}
88,Radium,Ra-220,1.79E-2 s,A,7.5904,0.0002,0.0047,7.5952,{'Rn-216': 1.0}
88,Radium,Ra-221,28 s,A,6.7915,0.069,0.039,6.8995,{'Rn-217': 1.0}
88,Radium,Ra-222,38.0 s,A,6.671,0.0009,0.0092,6.6811,{'Rn-218': 1.0}
88,Radium,Ra-223,11.43 d,A,5.7702,0.0781,0.1413,5.9895,{'Rn-219': 1.0}
