141,Cr-51,M,2.0E-01,2.54E-10,1.90E-10,1.01E-10,6.39E-11,3.92E-11,3.24E-11,3.88E-11
142,Cr-51,S,2.0E-01,2.59E-10,2.10E-10,1.02E-10,6.56E-11,4.51E-11,3.71E-11,4.34E-11
143,Mn-51,F,2.0E-01,2.52E-10,1.67E-10,7.52E-11,4.62E-11,2.71E-11,2.26E-11,2.78E-11
144,Mn-51,M,2.0E-01,4.03E-10,2.65E-10,1.22E-10,7.73E-11,4.95E-11,4.12E-11,4.93E-11
145,Mn-51,S,2.0E-01,4.20E-10,2.76E-10,1.27E-10,8.07E-11,5.19E-11,4.32E-11,5.17E-11
146,Mn-52,F,2.0E-01,7.00E-09,5.56E-09,2.91E-09,1.86E-09,1.14E-09,9.48E-10,1.13E-09
147,Mn-52,M,2.0E-01,8.61E-09,6.85E-09,3.74E-09,2.46E-09,1.71E-09,1.36E-09,1.59E-09
148,Mn-52,S,2.0E-01,8.85E-09,7.04E-09,3.86E-09,2.55E-09,1.79E-09,1.42E-09,1.66E-09
149,Mn-52m,F,2.0E-01,1.90E-10,1.31E-10,6.11E-11,3.75E-11,2.24E-11,1.86E-11,2.27E-11
150,Mn-52m,M,2.0E-01,2.76E-10,1.87E-10,8.73E-11,5.46E-11,3.42E-11,2.84E-11,3.42E-11
151,Mn-52m,S,2.0E-01,2.86E-10,1.93E-10,9.02E-11,5.65E-11,3.55E-11,2.95E-11,3.55E-11
152,Mn-53,F,2.0E-01,3.18E-10,2.18E-10,1.05E-10,5.94E-11,3.36E-11,2.84E-11,3.54E-11
153,Mn-53,M,2.0E-01,4.50E-10,3.30E-10,1.72E-10,9.95E-11,6.27E-11,5.38E-11,6.42E-11
154,Mn-53,S,2.0E-01,1.29E-09,1.16E-09,7.23E-10,4.45E-10,3.50E-10,3.37E-10,3.65E-10
155,Mn-54,F,2.0E-01,5.29E-09,4.15E-09,2.26E-09,1.51E-09,1.00E-09,8.67E-10,9.98E-10
156,Mn-54,M,2.0E-01,7.64E-09,6.30E-09,3.86E-09,2.40E-09,1.88E-09,1.57E-09,1.77E-09
157,Mn-54,S,2.0E-01,1.21E-08,1.06E-08,7.04E-09,4.77E-09,3.86E-09,3.27E-09,3.60E-09
158,Mn-56,F,2.0E-01,6.96E-10,4.94E-10,2.29E-10,1.39E-10,7.81E-11,6.42E-11,8.02E-11
159,Mn-56,M,2.0E-01,1.12E-09,7.83E-10,3.73E-10,2.36E-10,1.48E-10,1.22E-10,1.47E-10
160,Mn-56,S,2.0E-01,1.16E-09,8.14E-10,3.88E-10,2.47E-10,1.56E-10,1.28E-10,1.54E-10
